Phone,40000,1,60cm,20240202,50
Laptop,25000,25,160cm,20240202,100
Poes2,25000,25,16cm,20200101,25
Ope,25000,200,60cm,20240119,50
qwer,25000,250,60cm,20240202,50
pow12,25000,30,12cm,20240202,10
Lenovo,25000,0,m,0,50
Xiomi,12000,25,60cm,20240202,50
Pop,10000,5,60cm,20240101,50
Poereq,10000,10,60cm,20220101,50
Wer,10000,12,60cm,20240119,50
Oew,2500,15,60cm,20210202,50
poqwert,2500,1,60cm,20240119,30
Poewsz,2500,12,60cm,20240202,50
poewr,2500,21,60cm,20240201,59
lesdaq,2500,10,60cm,20200201,50
pow1,2500,1,10cm,20240119,23
Poqzx,2000,20,150cm,20240202,25
Poews,1000,9,60cm,20220101,50
product1,250,2,130cm,20240201,25
pow2,123,2,16cm,20220202,23
oqwe2,25,0,60cm,20240202,50
Pods,25,0,60cm,20240101,32
opw1,25,21,13cm,20240202,25
lopw23,25,180,160cm,20240222,50
